,Wohlstand,Krieg,Angst,Energie
2025-01-17,0,25,0,5
2025-01-18,1,7,1,4
2025-01-19,0,12,2,2
2025-01-20,7,9,3,5
2025-01-21,2,9,2,10
2025-01-22,2,28,2,9
2025-01-23,2,26,3,11
2025-01-24,3,35,1,9
2025-01-25,0,4,2,0
2025-01-26,1,3,1,4
2025-01-27,1,32,1,2
2025-01-28,4,32,5,5
2025-01-29,3,19,7,1
2025-01-30,0,7,2,6
2025-01-31,7,7,3,5
2025-02-01,1,28,4,0
2025-02-02,0,8,4,3
2025-02-03,4,8,1,6
2025-02-04,1,9,3,6
2025-02-05,1,34,1,5
2025-02-06,0,23,3,17
2025-02-07,0,20,2,4
2025-02-08,0,7,0,2
2025-02-09,2,19,1,6
2025-02-10,1,11,1,6
2025-02-11,1,49,4,1
2025-02-12,3,22,7,9
2025-02-13,3,41,4,0
2025-02-14,1,14,4,3
2025-02-15,0,24,3,5
2025-02-16,1,18,2,5
2025-02-17,2,18,2,3
2025-02-18,1,19,4,1
2025-02-19,2,16,2,7
2025-02-20,6,5,0,7
2025-02-21,3,1,2,0
2025-02-22,0,5,2,1
2025-02-23,1,5,7,1
2025-02-24,5,38,0,4
2025-02-25,1,13,4,4
2025-02-26,5,14,3,4
2025-02-27,1,6,4,7
2025-02-28,3,32,2,4
2025-03-01,0,13,2,0
2025-03-02,3,20,2,0
2025-03-03,8,23,6,6
2025-03-04,7,49,1,8
2025-03-05,1,17,2,16
2025-03-06,3,33,4,3
2025-03-07,3,19,6,2
2025-03-08,0,24,3,2
2025-03-09,1,9,1,0
2025-03-10,1,43,5,10
2025-03-11,1,13,5,2
2025-03-12,0,18,6,6
2025-03-13,2,32,1,3
2025-03-14,4,15,3,1
2025-03-15,0,5,2,4
2025-03-16,0,9,1,1
2025-03-17,8,31,4,5
2025-03-18,1,17,1,2
2025-03-19,0,33,1,2
2025-03-20,3,12,3,6
2025-03-21,2,18,2,6
2025-03-22,2,21,1,2
2025-03-23,0,7,1,1
2025-03-24,0,39,1,7
2025-03-25,1,21,4,4
2025-03-26,0,19,6,4
2025-03-27,3,23,11,9
2025-03-28,9,8,4,3
2025-03-29,2,49,5,2
2025-03-30,1,24,1,2
2025-03-31,7,39,4,6
2025-04-01,4,10,3,4
2025-04-02,1,23,8,5
2025-04-03,1,11,2,1
2025-04-04,0,20,5,2
2025-04-05,2,4,4,4
2025-04-06,1,25,3,0
2025-04-07,2,29,6,6
2025-04-08,1,11,6,5
2025-04-09,2,16,8,3
2025-04-10,1,14,0,4
2025-04-11,2,42,9,1
2025-04-12,1,9,4,1
2025-04-13,1,9,3,4
2025-04-14,2,18,2,1
2025-04-15,2,14,2,2
2025-04-16,3,14,2,3
2025-04-17,1,27,6,2
2025-04-18,2,25,4,1
2025-04-19,2,19,1,2
2025-04-20,0,34,1,1
2025-04-21,0,54,4,2
2025-04-22,2,6,2,2
2025-04-23,1,30,3,2
2025-04-24,1,13,0,4
2025-04-25,0,34,6,7
2025-04-26,0,31,1,6
2025-04-27,0,8,1,1
2025-04-28,1,15,1,5
2025-04-29,8,27,2,7
2025-04-30,6,18,6,8
2025-05-01,1,10,1,1
2025-05-02,3,6,2,3
2025-05-03,0,7,0,1
2025-05-04,1,34,3,4
2025-05-05,2,19,3,1
2025-05-06,0,10,1,6
2025-05-07,1,34,5,6
2025-05-08,0,35,8,5
2025-05-09,1,65,1,7
2025-05-10,0,15,0,3
2025-05-11,0,24,0,0
2025-05-12,2,30,2,1
2025-05-13,2,42,1,4
2025-05-14,1,30,3,1
2025-05-15,0,25,2,6
2025-05-16,0,18,2,4
2025-05-17,2,33,1,4
2025-05-18,2,32,2,2
2025-05-19,11,19,2,8
2025-05-20,2,15,3,8
2025-05-21,0,3,4,3
2025-05-22,2,48,8,5
2025-05-23,3,15,4,3
2025-05-24,0,23,1,3
2025-05-25,4,14,1,3
2025-05-26,1,11,0,3
2025-05-27,3,29,4,4
2025-05-28,1,54,1,3
2025-05-29,0,49,1,2
2025-05-30,5,28,2,7
2025-05-31,2,30,1,5
2025-06-01,0,22,3,4
2025-06-02,2,26,1,5
2025-06-03,2,11,1,5
2025-06-04,3,28,4,4
2025-06-05,8,49,3,11
2025-06-06,0,14,0,8
2025-06-07,0,30,3,1
2025-06-08,0,9,3,2
2025-06-09,0,8,1,2
2025-06-10,7,20,0,8
2025-06-11,4,28,5,0
2025-06-12,4,20,1,9
2025-06-13,8,18,3,4
2025-06-14,0,16,1,5
2025-06-15,0,12,3,2
2025-06-16,1,11,0,2
2025-06-17,0,22,3,5
2025-06-18,2,29,2,6
2025-06-19,2,24,4,3
2025-06-20,0,19,1,2
2025-06-21,2,8,2,1
2025-06-22,1,18,0,1
2025-06-23,2,6,1,1
2025-06-24,1,5,3,4
2025-06-25,2,4,1,4
2025-06-26,1,4,1,6
2025-06-27,4,21,5,0
2025-06-28,1,8,3,3
2025-06-29,1,6,1,4
2025-06-30,8,10,1,2
2025-07-01,13,13,2,4
2025-07-02,0,4,2,1
2025-07-03,0,8,0,1
2025-07-04,2,5,0,0
2025-07-05,0,14,1,2
2025-07-06,0,3,1,0
2025-07-07,0,8,1,0
2025-07-08,0,2,1,0
1970-01-01,0,0,0,0
